Lattice3x20172.csv,
10,5,1,0,
0,3026,6052,9078,12104,15130,18156,21182,24208,27234,30260,33286,36312,39338,42364,45390,48416,51442,54468,57494,
60516,0,54,110,93,64,77,19,66,98,55,33,58,29,15208,53246,7,0,0,0,
60516,58,99,116,115,124,43,85,31,60516,72,48,23,47,15,7,0,7,0,0,
60516,0,37,116,128,53,75,64,82,64,80,74,29,16,15,15,0,0,0,0,
60516,0,65,101,84,42,60,30,36,39,80,53,60516,36,0,0,0,0,0,0,
60516,0,76,92,108,67,33,31,55,84,77,42,44,65,35,0,0,0,0,0,
60516,8,31,92,94,114,90,40,45,84,13181,3095,29,22,60516,7,60516,0,0,0,
60516,20,20,57,129,13222,56,67,8,93,36742,52,52,60516,60516,15,0,0,0,0,
60516,0,42,92,95,65,48,47,7,36,94,22151,16656,24,30,8,0,0,0,0,
60516,29,67,46,211,37,44,83,31,48238,103,39,63,13614,22,0,0,8,0,0,
60516,38,33,79,71,75,26,90,56,62,53,58,41031,22,39670,8,16,0,0,0,
60516,0,28,64,143,119,68,62,53,62,29,60516,5700,1224,26407,23,0,0,0,0,
60516,32,22,79,144,104,58,32,39,61,45,57282,31,32,23008,0,0,60516,0,0,
60516,8,67,42,96,89,78,30,26,28795,49902,47,23,28035,22,8,49813,0,0,0,
60516,139,50,90,83,80,68,77,24312,22,16474,67,25671,52,14,10459,0,0,0,0,
60516,17,112,94,65,121,28,40,57,61,76,22,54,60504,38,60516,7,0,0,0,
60516,11,85,97,113,71,54,65,73,10803,78,38416,44,22,15,0,7,0,0,0,
60516,97,74,83,54,8,43,74,45,56,39,44,75,28,39,16,0,0,0,0,
60516,0,38,65,86,58,45,53,44,47,1475,66,50,22,18,7,0,0,0,0,
60516,8,36,90,128,23,53,8033,11268,61,67,68,86,60516,23,23,0,0,0,0,
60516,0,49,63,123,89,43,46,56,15688,69,26,91,33411,7,60516,7,0,0,0,
60516,0,78,4845,116,138,90,58,51,81,81,47,70,32,15,7,0,0,0,0,
60516,34,17,137,156,100,45,44,75,47,2825,73,36,60516,52,7,0,0,0,0,
60516,0,47,128,85,84,46,66,82,32,59,37,66,66,10030,7,7,0,0,0,
60516,20,45,137,61,103,41,58,69,77,37,29,21,30,46,0,7,0,0,0,
60516,0,74,189,87,41,49,80,41,123,92,84,58,60516,32,23,0,0,0,0,
60516,0,51,92,70,95,35,50,41,77,51,30,39,38,10,7,60516,0,0,0,
60516,35,83,125,135,61,29,63,53,10368,48,83,52,32,22,15,0,0,0,0,
