Lattice174x174.csv,,,,,,,,,,,,,,,,,,,,
7,6,4,0,,,,,,,,,,,,,,,,,
0,1513,3026,4539,6052,7565,9078,10591,12104,13617,15130,16643,18156,19669,21182,22695,24208,25721,27234,28747,30260
30276,3479,1964,1293,915,710,411,363,294,300,204,160,90,70,48,10,10,5,0,0,0
30276,3324,1855,1134,900,600,418,441,286,270,224,169,98,136,40,30,20,5,0,0,0
30276,3134,1831,1293,772,679,431,377,291,280,184,172,121,30,40,25,0,0,0,0,0
30276,3209,1839,1271,805,641,397,428,346,267,191,112,118,90,50,30,15,0,0,0,0
30276,3350,1913,1271,827,662,510,507,347,259,168,121,141,88,45,25,0,10,0,0,0
30276,3208,1839,1116,912,567,473,321,226,212,254,132,65,53,60,25,10,10,0,0,0
30276,3037,1902,1165,809,711,435,430,380,304,177,124,70,30,55,20,20,10,0,0,0
30276,3416,1837,1243,727,609,497,419,373,293,250,134,116,66,55,35,25,0,0,0,0
30276,3349,1544,1228,786,526,527,484,304,223,211,142,121,72,84,30,10,0,0,0,0
30276,3311,1712,1377,790,519,609,381,294,241,198,148,146,65,55,25,10,0,0,0,0
30276,3371,1989,1252,790,782,496,495,447,299,237,171,65,60,40,35,0,0,0,0,0
30276,3003,1623,1130,904,755,476,380,381,260,192,123,95,58,43,25,10,0,0,0,0
30276,3361,1800,1145,814,706,459,493,358,341,288,164,93,78,75,35,0,0,0,0,0
30276,3191,1832,1264,962,740,439,491,410,242,213,161,103,83,30,30,10,0,0,0,0
30276,3142,1830,1183,848,653,715,477,389,229,174,166,101,48,28,25,5,0,5,0,0
30276,3445,1641,1253,854,698,569,467,288,271,162,126,141,68,46,46,10,5,0,0,0
30276,3083,1721,1138,988,718,601,342,409,264,213,164,109,25,68,28,10,10,0,0,0
30276,3255,1823,1048,1005,643,568,367,297,263,201,148,100,60,60,30,15,0,0,0,0
30276,3500,1722,1127,792,691,587,345,264,265,257,162,150,64,60,38,10,10,0,0,0
30276,3160,1793,1166,852,675,610,459,284,294,215,108,160,80,55,5,0,10,0,0,0
30276,3303,1724,1142,828,611,589,443,276,278,236,96,162,97,50,38,15,0,0,0,0
30276,3095,1884,1305,954,689,511,437,313,269,202,178,137,50,48,48,5,0,0,0,0
30276,3120,2072,1126,939,683,539,315,378,214,181,147,169,70,38,40,20,0,0,0,0
30276,3213,1702,1037,1005,705,557,363,370,314,177,150,111,78,53,30,13,5,0,0,0
30276,2987,1792,1226,782,561,478,425,339,259,203,132,98,58,30,10,15,0,0,0,0
30276,3135,1675,1236,1008,732,455,297,347,206,261,123,103,83,50,15,10,0,0,0,0
30276,3396,1870,1212,840,712,561,344,322,320,161,169,159,73,73,20,0,5,0,0,0
30276,3194,1824,1214,890,619,505,510,346,217,205,187,96,91,66,20,5,0,0,0,0
30276,3099,1922,1264,952,676,568,475,377,261,293,164,119,50,45,18,18,5,0,0,0
30276,2898,1950,1182,902,664,596,414,278,255,268,190,106,85,55,10,20,10,0,0,0
30276,3157,1817,1422,978,614,529,347,398,286,297,108,103,66,25,38,15,0,5,0,0
30276,3047,1945,1314,845,638,454,478,359,286,209,148,117,35,51,15,0,0,0,0,0
30276,3364,1915,1170,867,613,566,337,326,240,226,165,75,70,51,20,10,10,0,0,0
30276,3139,1829,1315,885,576,523,545,380,292,282,116,95,103,45,45,10,0,0,0,0
30276,3046,1854,1291,940,540,493,399,364,237,182,125,108,96,43,20,10,5,0,0,0
