Lattice3x20172.csv,,,,,,,,,,,,,,,,,,,
10,5,1,0,,,,,,,,,,,,,,,,
0,50,50,120,65,82,87,55,58,35,69,82,28,29,30,60516,0,0,0,0
0,32,16,40,65,65,56,66,31,29,2776,48,30,37,60516,31,0,0,0,0
0,89,59,155,111,91,113,79,127,55,70,1872,13448,2182,42104,7,7,0,0,0
0,0,64,114,54,113,34,49,23,75,1688,72,37,7,7,7715,60516,0,0,0
0,129,95,164,103,50,78,62,37,104,47,8980,47,3827,23,15,0,8,0,0
0,0,48,75,59,80,99,77,23,57,94,56,81,50,43,15,0,0,0,0
0,0,88,118,58,15659,35,120,50,7717,68,38,42,21,25,0,0,0,0,0
0,11,61,116,92,78,48,69,20,56,72,62,53,7,22,7,8,0,0,0
0,40,22,134,92,85,60,59,82,86,96,32,47,30,21,22,7,0,0,0
0,29,111,78,110,86,76,61,32,46,44,73,66,38,57223,14,8,7,0,0
0,38,101,37,95,55,61,82,30,52,72,68,53,19286,0,14,7,0,0,0
0,0,84,57,98,85,62,70,42,85,73,71,15070,36,60516,0,8,0,0,0
0,0,56,100,75,60,107,23,62,1591,38,10713,71,8201,22,42,0,0,0,0
0,8,38,105,105,90,55,80,51,90,44,3584,14,53,22,0,0,0,0,0
0,17,71,84,29,97,55,30,34,17,41,63,45,52,30,8,0,0,0,0
0,0,104,64,65,122,56,41,71,63,15,1511,60,60516,46,15,8,0,0,0
0,17,36,71,124,11041,43,53483,16,85,32,40,21,58370,30,7,0,0,0,0
0,52,8,69,188,90,73,40,52,2677,65,102,69,12498,60516,14,15,0,0,0
0,14,8,27,56,72,112,102,34,95,50,60,60516,29,28877,8,15,0,0,0
0,37,78,95,56,57,60,48,42,39,75,70,59,14,47,44,7,0,0,0
0,0,27,121,44,109,77,616,49,95,12533,58,70,60516,16,23,7,0,0,0
0,0,18,158,62,121,53,50,39,352,7054,108,58,60498,38,34825,0,0,0,0
0,46,41,60516,105,58,28,29,50,40,68,58,61,22,29,31,0,0,0,0
0,52,108,102,145,48,51,43,58,58,91,52,6592,35,31,7,7,0,0,0
0,11,69,115,17,114,42,65,60516,74,4047,90,12489,37,31838,16,0,0,0,0
0,51,119,109,62,115,47266,26,64,40,45,64,55,29,3689,3820,0,0,0,0
0,0,65,7,4467,58,39,43,93,60516,12633,114,42,60516,32,25086,8,0,0,0
0,0,21,126,73,23,31,1262,41,71,32,50582,66,24,60516,0,7,0,0,0
0,0,73,154,121,96,93,52,71,62,13899,39,21,58,21,0,8,0,0,0
0,29,101,45,115,48,62,48,15,33870,83,79,37,3925,22,21,0,0,0,0
0,0,0,19,126,57,65,45,45,5592,97,87,3071,23,23,30,8,0,0,0
0,64,54,217,52,61,93,34,4726,58,83,50,37,31,22,0,8,7,0,0
0,14,55,91,104,141,63,22,77,53,66,76,11114,22,30,15,0,0,0,0
0,0,145,175,54,80,95,70,44,33440,31,20791,448,33,45,0,0,0,7,0
0,0,73,101,100,57,49,35,80,65,72,82,41,43,7,7,8,0,0,0
0,0,39,70,85,50,37,31,46,96,91,78,71,30,7,15,7,0,0,0
0,60,84,118,73,64,59,56,40,65,54,46,60516,36,7,22,0,0,0,0
0,65,51,79,72,106,31,50,86,54,31,10867,43,45,15,7,0,0,0,0
0,8,78,52,77,44,14308,11,121,61,45,32330,67,21,60516,30,0,0,0,0
0,11,31,194,56,64,24,33,69,49,8979,74,65,65,34,0,0,0,0,0
0,0,0,102,74,75,41,37,56,4366,76,14,29,28,8,14,0,0,0,0
0,40,80,54,121,47,93,59,67,30,29,98,37,25,16,14,7,0,0,0
0,38,109,79,58,55,42,54,44,110,79,60,38,53,28,31,0,0,0,0
0,0,29,149,80,76,40,51,15,38,63,44666,60516,37,52267,14,7,0,0,0
0,14,0,94,64,101,19,51,34,39,83,49,66,30,14,0,0,0,0,0
0,0,122,113,47,131,84,24,83,45,85,97,60516,38,15,46333,0,0,0,0
0,0,42,89,117,47,37,44,48,41,82,76,4313,52,23,15,0,0,0,0
0,0,143,96,134,82,84,42,41,57,53,99,30,55,16,22,8,0,0,0
0,14,105,76,120,105,67,59,34646,123,25,52,34778,40,22,30,60516,0,0,0
0,40,61,63,99,22,46,58,52,77,48,46,56488,23,7028,30,60516,0,0,0
0,0,59,185,88,44,4388,45,75,37221,82,23,68,41,15,13,0,0,0,0
0,50,7,73,64,58,71,49,45,22518,104,70,40,15,15,0,0,0,0,0
0,46,97,145,103,97,48,31,60516,44,81,6491,15,46,6994,8,0,0,0,0
0,0,97,87,57,116,15,83,7527,69,49,86,47,36,44,0,0,8,0,0
0,17,74,19,75,80,75,54,64,64,59,11338,19059,36,15,4380,0,0,0,0
0,53,33,59,63,87,65,62,58,96,86,27735,22,21,36,26,0,0,0,0
0,14,22,85,85,43,86,58,43,29,38,24511,14,8,7,7,7,0,0,0
0,0,66,143,65,15855,34,8115,53,48,5456,3712,67,9958,52,0,60516,0,0,0
0,0,70,113,144,53,65,53,26,5375,45,37,2469,3240,12357,16,7,0,0,0
0,10,113,123,61,62,97,15,56,53,62,60,59,7,21,60516,8,0,0,0
